,Case Number,Month,Year,Country,Activity,Injury
2737,1982.09.30.a,September,1982,SOUTH AFRICA,Surfing,No injury
2738,1982.09.27,September,1982,USA,Surfing,Leg
2739,1982.09.25,September,1982,USA,Diving,Arm
2740,1982.09.19,September,1982,USA,Diving,Leg
2741,1982.09.04,September,1982,USA,Unknown,OTHER
2742,1982.08.29.c,August,1982,JAPAN,Unknown,FATAL
2743,1982.08.29.b,August,1982,USA,Surfing,No injury
2744,1982.08.29.a,August,1982,SOUTH AFRICA,Swimming,Leg
2745,1982.08.00,August,1982,OTHER,Surfing,Leg
2746,1982.07.31,July,1982,SOUTH AFRICA,Water sports,No injury
2747,1982.07.24.b,July,1982,SOUTH AFRICA,Water sports,No injury
2748,1982.07.24.a,July,1982,USA,Water sports,No injury
2749,1982.07.19,July,1982,USA,Swimming,Leg
2750,1982.07.11,July,1982,USA,Swimming,Leg
2751,1982.07.01,July,1982,USA,Swimming,Leg
2752,1982.07.00,July,1982,NEW CALEDONIA,Unknown,Arm
2753,1982.06.29,June,1982,SOUTH AFRICA,Surfing,FATAL
2754,1982.06.26.b,June,1982,USA,Swimming,Arm
2755,1982.06.26.a,June,1982,BAHAMAS,Fishing,Arm
2756,1982.06.25,June,1982,USA,Unknown,Leg
2757,1982.06.13,June,1982,USA,Swimming,Leg
2758,1982.05.00,May,1982,USA,Unknown,OTHER
2759,1982.03.10,March,1982,USA,Surfing,Arm
2760,1982.03.07,March,1982,AUSTRALIA,Surfing,Leg
2761,1982.03.00,March,1982,NEW CALEDONIA,Fishing,Arm
2762,1982.02.28,February,1982,AUSTRALIA,Fishing,FATAL
2763,1982.02.27,February,1982,USA,Surfing,Arm
2764,1982.02.17,February,1982,SOUTH AFRICA,Fishing,Leg
2765,1982.02.14.b,February,1982,USA,Shore,Leg
2766,1982.02.14.a,February,1982,USA,Swimming,Leg
2767,1982.02.13,February,1982,USA,Swimming,FATAL
2768,1982.02.07.a,February,1982,USA,Diving,Leg
2769,1982.02.07..b,February,1982,USA,Diving,FATAL
2770,1982.01.29,January,1982,SOUTH AFRICA,Swimming,Leg
2771,1982.00.00.c,Unknown,1982,ITALY,Water sports,Unknown
2772,1982.00.00.b,Unknown,1982,ITALY,Fishing,No injury
2773,1982.00.00.a,Unknown,1982,OTHER,Fishing,Unknown
2774,1981.12.19,December,1981,USA,Surfing,Trunk
2775,1981.12.13.b,December,1981,AUSTRALIA,Unknown,Trunk
2776,1981.12.13.a,December,1981,USA,Surfing,Leg
2777,1981.11.30,November,1981,REUNION,Fishing,Unknown
2778,1981.10.19.b,October,1981,SOUTH AFRICA,OTHER,Arm
2779,1981.11.09,November,1981,USA,Fishing,Arm
2780,1981.10.19.a,October,1981,USA,Swimming,Arm
2781,1981.10.17,October,1981,USA,Surfing,Unknown
2782,1981.10.16,October,1981,USA,Surfing,Leg
2783,1981.10.01,October,1981,USA,Surfing,Leg
2784,1981.09.28,September,1981,USA,Surfing,Trunk
2785,1981.09.27,September,1981,USA,Surfing,Arm
2786,1981.09.15,September,1981,USA,Swimming,Leg
2787,1981.09.03.b,September,1981,USA,Surfing,Arm
2788,1981.09.03.a,September,1981,USA,Surfing,Leg
2789,1981.08.29,August,1981,USA,Surfing,Leg
2790,1981.08.24.b,August,1981,USA,Fishing,Leg
2791,1981.08.24.a,August,1981,USA,Fishing,Leg
2792,1981.08.10.b,August,1981,USA,Diving,OTHER
2793,1981.08.10.a,August,1981,USA,Swimming,FATAL
2794,1981.08.07,August,1981,BAHAMAS,Surfing,Arm
2795,1981.07.20,July,1981,USA,Swimming,Leg
2796,1981.07.18,July,1981,SOUTH AFRICA,Surfing,Leg
2797,1981.07.07,July,1981,USA,Fishing,Leg
2798,1981.07.01,July,1981,SOUTH AFRICA,OTHER,Leg
2799,1981.06.15.R,June,1981,ENGLAND,Fishing,No injury
2800,1981.06.12,June,1981,USA,Unknown,FATAL
2801,1981.05.24,May,1981,USA,Fishing,FATAL
2802,1981.05.23,May,1981,OTHER,Diving,FATAL
2803,1981.05.20,May,1981,SOUTH AFRICA,Surfing,No injury
2804,1981.05.19,May,1981,USA,Diving,Arm
2805,1981.05.16,May,1981,USA,Diving,Arm
2806,1981.05.10,May,1981,SOUTH AFRICA,Surfing,No injury
2807,1981.05.07,May,1981,OTHER,OTHER,No injury
2808,1981.03.08,March,1981,BERMUDA,OTHER,OTHER
2809,1981.05.05,May,1981,SOUTH AFRICA,Surfing,Leg
2810,1981.03.25,March,1981,USA,Shore,Leg
2811,1981.03.24,March,1981,USA,Surfing,Leg
2812,1981.03.04,March,1981,OTHER,Fishing,Leg
2813,1981.03.00,March,1981,BRAZIL,Diving,Unknown
2814,1981.02.19,February,1981,SOUTH AFRICA,Swimming,Leg
2815,1981.02.16,February,1981,AUSTRALIA,OTHER,Leg
2816,1981.02.07,February,1981,AUSTRALIA,Unknown,Unknown
2817,1981.02.02,February,1981,USA,Surfing,Leg
2818,1981.02.00,February,1981,BRAZIL,Fishing,Arm
2819,1981.01.30,January,1981,USA,Fishing,OTHER
2820,1981.01.01,January,1981,SOUTH AFRICA,Swimming,FATAL
2821,1981.00.00.b,Unknown,1981,AUSTRALIA,Surfing,No injury
2822,1981.00.00.a,Unknown,1981,GREECE,Fishing,No injury
2823,1980.12.30,December,1980,SOUTH AFRICA,Water sports,No injury
2824,1980.12.26,December,1980,SOUTH AFRICA,Unknown,FATAL
2825,1980.11.24,November,1980,REUNION,Fishing,OTHER
2826,1980.11.18,November,1980,AUSTRALIA,Swimming,Arm
2827,1980.11.17,November,1980,SOUTH AFRICA,Swimming,FATAL
2828,1980.11.11.,November,1980,BRAZIL,Swimming,FATAL
2829,1980.10.27,October,1980,USA,Surfing,Leg
2830,1980.10.17,October,1980,USA,Surfing,No injury
2831,1980.08.22.R,August,1980,MEXICO,Diving,FATAL
2832,1980.08.10,August,1980,USA,Shore,Leg
2833,1980.08.04,August,1980,USA,Water sports,Trunk
2834,1980.07.26,July,1980,SPAIN,Diving,Leg
2835,1980.07.27,July,1980,USA,Surfing,Trunk
2836,1980.07.23,July,1980,USA,Shore,No injury
2837,1980.07.00,July,1980,USA,Surfing,No injury
2838,1980.07.00,July,1980,USA,Surfing,Leg
2839,1980.06.26,June,1980,USA,Diving,Leg
2840,1980.05.15,May,1980,SOUTH AFRICA,Surfing,No injury
2841,1980.04.25,April,1980,JAMAICA,Fishing,Arm
2842,1980.04.22,April,1980,PHILIPPINES,Water sports,FATAL
2843,1980.04.00,April,1980,MEXICO,Surfing,Leg
2844,1980.03.29,March,1980,SOUTH AFRICA,Diving,FATAL
2845,1980.03.28,March,1980,BRAZIL,Swimming,Leg
2846,1980.03.15,March,1980,PHILIPPINES,Water sports,FATAL
2847,1980.03.11,March,1980,SOUTH AFRICA,Fishing,Leg
2848,1980.01.31,January,1980,SOUTH AFRICA,Water sports,Leg
2849,1980.01.25,January,1980,OTHER,Fishing,Leg
2850,1980.01.15,January,1980,SOUTH AFRICA,Fishing,No injury
2851,1980.01.13,January,1980,SOUTH AFRICA,Swimming,OTHER
2852,1980.01.10,January,1980,SOUTH AFRICA,Swimming,Arm
2853,1980.01.05,January,1980,OTHER,Diving,FATAL
2854,1980.00.00.d,Unknown,1980,OTHER,OTHER,Arm
2855,1980.00.00.c,Unknown,1980,GREECE,Surfing,Leg
2856,1980.00.00.b,Unknown,1980,SOUTH AFRICA,Fishing,No injury
2857,1980.00.00.a,Unknown,1980,TONGA,Fishing,Trunk
2858,1979.12.21,December,1979,SOUTH AFRICA,Swimming,Leg
2859,1979.12.00,December,1979,OTHER,Fishing,FATAL
2860,1979.12.01,December,1979,OTHER,Diving,OTHER
2861,1979.11.27,November,1979,USA,Surfing,OTHER
2862,1979.11.12,November,1979,SOUTH AFRICA,Fishing,No injury
2863,1979.10.22,October,1979,SOUTH AFRICA,Fishing,Leg
2864,1979.09.14,September,1979,AUSTRALIA,Diving,Leg
2865,1979.08.28,August,1979,HONG KONG,Swimming,Leg
2866,1979.08.26,August,1979,HONG KONG,Unknown,FATAL
2867,1979.08.05,August,1979,USA,Water sports,Leg
2868,1979.08.03,August,1979,OTHER,OTHER,FATAL
2869,1979.06.19,June,1979,USA,Swimming,Leg
2870,1979.05.27,May,1979,USA,Diving,FATAL
2871,1979.05.05,May,1979,SOUTH AFRICA,Fishing,OTHER
2872,1979.05.03,May,1979,SOUTH AFRICA,Diving,FATAL
2873,1979.05.00.c,May,1979,NEW CALEDONIA,Fishing,Leg
2874,1979.05.00.b,May,1979,NEW CALEDONIA,Unknown,FATAL
2875,1979.04.08.b,April,1979,USA,Swimming,Leg
2876,1979.04.08.a,April,1979,USA,Surfing,Leg
2877,1979.03.24,March,1979,USA,Surfing,Leg
2878,1979.03.11,March,1979,USA,Diving,No injury
2879,1979.03.01,March,1979,SOUTH AFRICA,Unknown,No injury
2880,1979.03.00,March,1979,NEW CALEDONIA,Fishing,FATAL
2881,1979.02.21,February,1979,SOUTH AFRICA,Surfing,Leg
2882,1979.00.00,Unknown,1979,USA,Fishing,Leg
2883,1978.12.29,December,1978,AUSTRALIA,Unknown,Unknown
2884,1978.12.12,December,1978,SOUTH AFRICA,Fishing,Leg
2885,1978.11.26,November,1978,USA,Surfing,Arm
2886,1978.11.23,November,1978,USA,Surfing,Arm
2887,1978.10.21,October,1978,SOUTH AFRICA,Fishing,FATAL
2888,1978.09.27,September,1978,SOUTH AFRICA,Fishing,No injury
2889,1978.09.16,September,1978,ITALY,Diving,No injury
2890,1978.09.02.R,September,1978,AUSTRALIA,Diving,OTHER
2891,1978.08.05,August,1978,USA,Shore,Leg
2892,1978.08.01.R,August,1978,USA,Swimming,Leg
2893,1978.07.27,July,1978,USA,Swimming,Leg
2894,1978.07.19,July,1978,USA,Fishing,Leg
2895,1978.06.21.b,June,1978,USA,Surfing,Leg
2896,1978.06.21.a,June,1978,USA,Surfing,Leg
2897,1978.06.07,June,1978,ITALY,Unknown,No injury
2898,1978.04.02.b,April,1978,MARSHALL ISLANDS,Diving,Arm
2899,1978.04.02.a,April,1978,MARSHALL ISLANDS,Diving,Arm
2900,1978.04.00,April,1978,AUSTRALIA,Diving,Leg
2901,1978.03.05,March,1978,SOUTH AFRICA,Unknown,No injury
2902,1978.02.28,February,1978,SOUTH AFRICA,Fishing,No injury
2903,1978.02.19,February,1978,SOUTH AFRICA,Diving,No injury
2904,1978.01.17,January,1978,SOUTH AFRICA,Surfing,Leg
2905,1978.01.06,January,1978,SOUTH AFRICA,Unknown,FATAL
2906,1978.00.00.b,Unknown,1978,USA,Surfing,Leg
2907,1978.00.00.a,Unknown,1978,VANUATU,Swimming,FATAL
2908,1977.12.31,December,1977,USA,Swimming,Leg
2909,1977.12.19.b,December,1977,USA,Surfing,Arm
2910,1977.12.19.a,December,1977,SOUTH AFRICA,Surfing,Leg
2911,1977.12.00,December,1977,SOUTH AFRICA,Fishing,No injury
2912,1977.11.12,November,1977,SOUTH AFRICA,Shore,Arm
2913,1977.10.30,October,1977,SOUTH AFRICA,Fishing,No injury
2914,1977.08.31,August,1977,AUSTRALIA,Surfing,Leg
2915,1977.08.23,August,1977,AUSTRALIA,Swimming,Leg
2916,1977.08.19,August,1977,SOUTH AFRICA,Fishing,OTHER
2917,1977.08.14,August,1977,USA,Surfing,Leg
2918,1977.08.05,August,1977,USA,Shore,Leg
2919,1977.07.02,July,1977,USA,Fishing,Arm
2920,1977.06.26,June,1977,USA,Fishing,Leg
2921,1977.06.06,June,1977,USA,Fishing,Arm
2922,1977.05.26,May,1977,SOUTH AFRICA,Fishing,Leg
2923,1977.05.16,May,1977,AUSTRALIA,Unknown,OTHER
2924,1977.04.26,April,1977,AUSTRALIA,Unknown,Unknown
2925,1977.04.21,April,1977,USA,Swimming,Arm
2926,1977.03.17,March,1977,SOUTH AFRICA,Swimming,Leg
2927,1977.03.13.c,March,1977,AUSTRALIA,OTHER,Leg
2928,1977.03.13.b,March,1977,AUSTRALIA,OTHER,FATAL
2929,1977.03.13.a,March,1977,AUSTRALIA,OTHER,FATAL
2930,1977.02.26,February,1977,AUSTRALIA,Surfing,Leg
2931,1977.02.04,February,1977,AUSTRALIA,Unknown,OTHER
2932,1977.02.00,February,1977,NEW CALEDONIA,Unknown,OTHER
2933,1977.01.00,January,1977,MEXICO,Swimming,Leg
2934,1976.12.29,December,1976,AUSTRALIA,Unknown,Unknown
2935,1976.12.18,December,1976,USA,Diving,Trunk
2936,1976.11.27,November,1976,SOUTH AFRICA,Swimming,Trunk
2937,1976.11.26,November,1976,AUSTRALIA,Unknown,OTHER
2938,1976.11.25,November,1976,USA,Surfing,Arm
2939,1976.11.23,November,1976,SOUTH AFRICA,Swimming,Leg
2940,1976.11.06,November,1976,SOUTH AFRICA,Fishing,No injury
2941,1976.10.27,October,1976,SOUTH AFRICA,Water sports,No injury
2942,1976.10.18,October,1976,USA,Surfing,Leg
2943,1976.10.06,October,1976,SOUTH AFRICA,Surfing,Leg
2944,1976.09.22,September,1976,NEW CALEDONIA,OTHER,Unknown
2945,1976.09.19,September,1976,AUSTRALIA,Diving,Leg
2946,1976.09.17,September,1976,HONG KONG,OTHER,Leg
2947,1976.09.12.b,September,1976,USA,Swimming,FATAL
2948,1976.09.12.a,September,1976,USA,Swimming,FATAL
2949,1976.09.06,September,1976,USA,Surfing,Leg
2950,1976.08.26,August,1976,USA,Surfing,Leg
2951,1976.08.24,August,1976,USA,Surfing,No injury
2952,1976.07.24,July,1976,USA,Fishing,Arm
2953,1976.07.21,July,1976,USA,Shore,Leg
2954,1976.07.16,July,1976,USA,Diving,FATAL
2955,1976.07.12,July,1976,USA,Fishing,Arm
2956,1976.06.23,June,1976,USA,Diving,Arm
2957,1976.06.10,June,1976,USA,Swimming,Leg
2958,1976.06.02.R,June,1976,ITALY,Fishing,OTHER
2959,1976.06.01,June,1976,AUSTRALIA,Shore,OTHER
2960,1976.05.02,May,1976,SOUTH AFRICA,Fishing,OTHER
2961,1976.04.28,April,1976,USA,Unknown,FATAL
2962,1976.03.12.b,March,1976,USA,Shore,Leg
2963,1976.03.12.a,March,1976,SOUTH AFRICA,Fishing,No injury
2964,1976.03.09,March,1976,SOUTH AFRICA,Unknown,OTHER
2965,1976.03.02,March,1976,SOUTH AFRICA,Unknown,Trunk
2966,1976.02.03,February,1976,SOUTH AFRICA,OTHER,No injury
2967,1976.01.13,January,1976,SOUTH AFRICA,Fishing,No injury
2968,1976.01.12,January,1976,AUSTRALIA,Unknown,Unknown
2969,1976.01.11,January,1976,SOUTH AFRICA,Fishing,OTHER
2970,1976.01.08,January,1976,USA,Fishing,OTHER
2971,1976.01.02,January,1976,NEW ZEALAND,Fishing,FATAL
2972,1976.00.00.b,Unknown,1976,USA,Diving,FATAL
2973,1975.12.29,December,1975,AUSTRALIA,OTHER,No injury
2974,1975.12.06,December,1975,USA,Fishing,Leg
2975,1975.12.02,December,1975,AUSTRALIA,OTHER,Arm
2976,1975.11.19.b,November,1975,AUSTRALIA,Shore,Leg
2977,1975.11.19.a,November,1975,SOUTH AFRICA,Shore,Leg
2978,1975.11.07,November,1975,AUSTRALIA,Unknown,Arm
2979,1975.11.02,November,1975,USA,Surfing,Leg
2980,1975.10.21,October,1975,USA,Surfing,Leg
2981,1975.10.12,October,1975,AUSTRALIA,Surfing,OTHER
2982,1975.10.04,October,1975,USA,Surfing,Unknown
2983,1975.09.00,September,1975,SOUTH AFRICA,Water sports,Leg
2984,1975.08.17,August,1975,SOUTH AFRICA,Surfing,Leg
2985,1975.08.12,August,1975,USA,Swimming,Leg
2986,1975.08.09,August,1975,USA,Diving,Arm
2987,1975.08.04,August,1975,HONG KONG,Swimming,Leg
2988,1975.07.30.b,July,1975,USA,OTHER,Leg
2989,1975.07.30.a,July,1975,AUSTRALIA,Diving,FATAL
2990,1975.07.26.b,July,1975,USA,Diving,Arm
2991,1975.07.26.a,July,1975,AUSTRALIA,Surfing,Leg
2992,1975.07.23,July,1975,USA,Surfing,Leg
2993,1975.07.19,July,1975,USA,Diving,No injury
2994,1975.07.15,July,1975,USA,Swimming,Arm
2995,1975.07.05,July,1975,AUSTRALIA,Fishing,Arm
2996,1975.07.04,July,1975,USA,Surfing,Leg
2997,1975.06.23.b,June,1975,USA,Swimming,Leg
2998,1975.06.23.a,June,1975,USA,Shore,Arm
2999,1975.06.15,June,1975,USA,Swimming,Leg
3000,1975.06.02.R,June,1975,USA,Surfing,No injury
3001,1975.06.00.c,June,1975,USA,Unknown,OTHER
3002,1975.05.25,May,1975,USA,Surfing,Leg
3003,1975.05.20,May,1975,USA,Swimming,Leg
3004,1975.04.25,April,1975,ITALY,Diving,OTHER
3005,1975.04.18,April,1975,SOUTH AFRICA,Unknown,FATAL
3006,1975.04.05,April,1975,SOUTH AFRICA,Fishing,No injury
3007,1975.03.29,March,1975,SOUTH AFRICA,Swimming,FATAL
3008,1975.03.18,March,1975,AUSTRALIA,Unknown,Arm
3009,1975.03.16,March,1975,USA,Swimming,Leg
3010,1975.03.13,March,1975,AUSTRALIA,Diving,Leg
3011,1975.03.09,March,1975,SOUTH AFRICA,OTHER,Leg
3012,1975.03.00,March,1975,OTHER,OTHER,FATAL
3013,1975.02.23,February,1975,SOUTH AFRICA,Surfing,Leg
3014,1975.02.14.R,February,1975,SOUTH AFRICA,Unknown,OTHER
3015,1975.02.10,February,1975,AUSTRALIA,Swimming,Leg
3016,1975.02.09,February,1975,AUSTRALIA,Fishing,Arm
3017,1975.02.07,February,1975,AUSTRALIA,Unknown,Unknown
3018,1975.02.01,February,1975,SOUTH AFRICA,Fishing,Leg
3019,1975.01.19,January,1975,AUSTRALIA,Surfing,FATAL
3020,1975.00.00.b,Unknown,1975,BERMUDA,Fishing,Leg
3021,1975.00.00.a,Unknown,1975,REUNION,Unknown,FATAL
3022,1974.12.10,December,1974,AUSTRALIA,Unknown,Unknown
3023,1974.11.01,November,1974,USA,Shore,Leg
3024,1974.09.28,September,1974,USA,Surfing,Leg
3025,1974.09.14,September,1974,USA,Diving,OTHER
3026,1974.09.07,September,1974,OTHER,Swimming,Leg
3027,1974.09.02.b,September,1974,USA,Surfing,Arm
3028,1974.09.02.a,September,1974,USA,Surfing,Leg
3029,1974.09.01,September,1974,AUSTRALIA,Fishing,OTHER
3030,1974.09.00,September,1974,USA,Surfing,No injury
3031,1974.08.23,August,1974,HONG KONG,Swimming,Unknown
3032,1974.08.16.c,August,1974,HONG KONG,Swimming,FATAL
3033,1974.08.16.b,August,1974,HONG KONG,Swimming,Arm
3034,1974.08.16.a,August,1974,HONG KONG,Swimming,Leg
3035,1974.08.10,August,1974,CROATIA,Unknown,Leg
3036,1974.08.05,August,1974,USA,Surfing,Arm
3037,1974.07.26,July,1974,USA,Diving,Leg
3038,1974.07.20,July,1974,USA,Swimming,FATAL
3039,1974.07.02,July,1974,USA,OTHER,Arm
3040,1974.06.20,June,1974,USA,Swimming,Leg
3041,1974.05.26,May,1974,USA,Surfing,Leg
3042,1974.04.25.R,April,1974,BRAZIL,Fishing,FATAL
3043,1974.04.20,April,1974,SOUTH AFRICA,Fishing,Leg
3044,1974.04.14,April,1974,SOUTH AFRICA,Shore,Leg
3045,1974.04.12,April,1974,USA,Swimming,Leg
3046,1974.04.04,April,1974,SOUTH AFRICA,Surfing,Leg
3047,1974.03.21,March,1974,SOUTH AFRICA,Surfing,No injury
3048,1974.03.00,March,1974,SOUTH AFRICA,Fishing,No injury
3049,1974.02.13.b,February,1974,SOUTH AFRICA,Swimming,Leg
3050,1974.02.13.a,February,1974,SOUTH AFRICA,Swimming,Leg
3051,1974.02.00.b,February,1974,SOUTH AFRICA,Fishing,No injury
3052,1974.02.00.a,February,1974,SOUTH AFRICA,Fishing,No injury
3053,1974.01.13,January,1974,SOUTH AFRICA,Shore,Leg
3054,1974.01.09,January,1974,AUSTRALIA,Diving,Leg
3055,1974.01.07.c,January,1974,SOUTH AFRICA,Swimming,Leg
3056,1974.01.07.b,January,1974,MOZAMBIQUE,Swimming,FATAL
3057,1974.01.07.a,January,1974,MOZAMBIQUE,Swimming,FATAL
3058,1974.00.00.b,Unknown,1974,AUSTRALIA,Fishing,Leg
3059,1974.00.00.a,Unknown,1974,CROATIA,Unknown,FATAL
3060,1973.12.25,December,1973,MOZAMBIQUE,Fishing,Leg
3061,1973.12.21.b,December,1973,MOZAMBIQUE,Swimming,FATAL
3062,1973.12.19.R,December,1973,PHILIPPINES,Swimming,FATAL
3063,1973.12.18,December,1973,USA,Swimming,Leg
3064,1973.12.00,December,1973,MEXICO,Swimming,FATAL
3065,1973.11.25,November,1973,AUSTRALIA,Unknown,Unknown
3066,1973.11.24,November,1973,USA,Surfing,Leg
3067,1973.11.03,November,1973,AUSTRALIA,Unknown,Leg
3068,1973.09.29,September,1973,SOUTH AFRICA,Fishing,Leg
3069,1973.09.14,September,1973,BAHAMAS,Fishing,Arm
3070,1973.09.10.R,September,1973,HONG KONG,Swimming,FATAL
3071,1973.09.09,September,1973,MEXICO,Fishing,Leg
3072,1973.09.00,September,1973,EGYPT,Unknown,Leg
3073,1973.08.27,August,1973,AUSTRALIA,Unknown,Unknown
3074,1973.08.25,August,1973,AUSTRALIA,Surfing,Leg
3075,1973.08.16,August,1973,USA,Fishing,Arm
3076,1973.06.13,June,1973,HONG KONG,Swimming,OTHER
3077,1973.04.04,April,1973,MEXICO,Shore,FATAL
3078,1973.03.26,March,1973,AUSTRALIA,Unknown,Unknown
3079,1973.03.05,March,1973,MOZAMBIQUE,Fishing,FATAL
3080,1973.03.00,March,1973,SOUTH AFRICA,Fishing,Trunk
3081,1973.02.27,February,1973,MEXICO,Swimming,FATAL
3082,1973.01.21,January,1973,SOUTH AFRICA,Fishing,Arm
3083,1973.01.09,January,1973,USA,Surfing,Leg
3084,1973.00.00.c,Unknown,1973,OTHER,Diving,No injury
3085,1973.00.00.b,Unknown,1973,OTHER,Diving,Arm
3086,1973.00.00.a,Unknown,1973,SOUTH AFRICA,Surfing,No injury
3087,1972.12.31,December,1972,SOUTH AFRICA,Swimming,Leg
3088,1972.12.26,December,1972,MOZAMBIQUE,Swimming,Leg
3089,1972.12.25,December,1972,MEXICO,Surfing,Leg
3090,1972.12.24,December,1972,SOUTH AFRICA,Swimming,No injury
3091,1972.12.22,December,1972,AUSTRALIA,Unknown,Arm
3092,1972.12.08,December,1972,AUSTRALIA,Unknown,OTHER
3093,1972.12.01,December,1972,REUNION,Fishing,FATAL
3094,1972.10.22,October,1972,AUSTRALIA,Fishing,Arm
3095,1972.10.21,October,1972,AUSTRALIA,Surfing,Leg
3096,1972.10.14.b,October,1972,USA,Diving,FATAL
3097,1972.10.14.a,October,1972,USA,Surfing,Unknown
3098,1972.10.10.R,October,1972,NEW ZEALAND,Swimming,Leg
3099,1972.09.09,September,1972,USA,Surfing,Leg
3100,1972.09.04,September,1972,MOZAMBIQUE,Swimming,Leg
3101,1972.08.29,August,1972,USA,Surfing,Leg
3102,1972.08.17,August,1972,USA,Fishing,Arm
3103,1972.08.08,August,1972,AUSTRALIA,Diving,Leg
3104,1972.07.05,July,1972,USA,Diving,Leg
3105,1972.06.26.b,June,1972,AUSTRALIA,Unknown,FATAL
3106,1972.06.26.a,June,1972,AUSTRALIA,Unknown,FATAL
3107,1972.06.10,June,1972,USA,Surfing,Trunk
3108,1972.05.28,May,1972,USA,Diving,Leg
3109,1972.05.06,May,1972,FRENCH POLYNESIA,Fishing,Leg
3110,1972.04.16,April,1972,OTHER,Swimming,FATAL
3111,1972.04.01.b,April,1972,AUSTRALIA,Unknown,Leg
3112,1972.04.01.a,April,1972,MOZAMBIQUE,Swimming,FATAL
3113,1972.03.21,March,1972,OTHER,Fishing,Arm
3114,1972.03.16,March,1972,USA,Fishing,Leg
3115,1972.02.20,February,1972,AUSTRALIA,Surfing,Leg
3116,1972.02.12,February,1972,AUSTRALIA,Unknown,Unknown
3117,1972.01.01.c,January,1972,SOUTH AFRICA,Swimming,FATAL
3118,1972.01.01.b,January,1972,SOUTH AFRICA,Shore,Leg
3119,1972.01.01.a,January,1972,MOZAMBIQUE,Shore,Leg
3120,1972.00.00.b,Unknown,1972,OTHER,Swimming,Arm
3121,1972.00.00.a,Unknown,1972,MARSHALL ISLANDS,Diving,Arm
3122,1971.12.23,December,1971,AUSTRALIA,Unknown,Unknown
3123,1971.12.16,December,1971,SOUTH AFRICA,Swimming,Arm
3124,1971.12.05,December,1971,AUSTRALIA,Unknown,FATAL
3125,1971.11.27,November,1971,HONG KONG,Swimming,Leg
3126,1971.11.25.R,November,1971,AUSTRALIA,Unknown,OTHER
3127,1971.10.23,October,1971,USA,Surfing,Arm
3128,1971.10.14,October,1971,SOUTH AFRICA,Swimming,Arm
3129,1971.10.02,October,1971,USA,Diving,Leg
3130,1971.09.25,September,1971,USA,Surfing,Leg
3131,1971.09.07,September,1971,CROATIA,Swimming,FATAL
3132,1971.09.05,September,1971,AUSTRALIA,Fishing,No injury
3133,1971.08.21,August,1971,AUSTRALIA,Fishing,Leg
3134,1971.07.26,July,1971,USA,Shore,Leg
3135,1971.07.19,July,1971,USA,Diving,Trunk
3136,1971.06.30,June,1971,SOUTH AFRICA,Surfing,Leg
3137,1971.06.01,June,1971,OTHER,Diving,No injury
3138,1971.04.16R,April,1971,OTHER,Swimming,Leg
3139,1971.04.11,April,1971,SOUTH AFRICA,Swimming,FATAL
3140,1971.04.06,April,1971,MEXICO,Surfing,Leg
3141,1971.04.05.b,April,1971,OTHER,Unknown,FATAL
3142,1971.04.05.a,April,1971,OTHER,Unknown,FATAL
3143,1971.04.00,April,1971,MOZAMBIQUE,OTHER,FATAL
3144,1971.03.30,March,1971,NEW ZEALAND,Surfing,Leg
3145,1971.01.02,January,1971,AUSTRALIA,Swimming,Trunk
3146,1971.00.00.c,Unknown,1971,AUSTRALIA,Surfing,Leg
3147,1971.00.00.b,Unknown,1971,IRAN,Unknown,Unknown
3148,1971.00.00.a,Unknown,1971,IRAN,Unknown,Unknown
3149,1970.12.17,December,1970,MOZAMBIQUE,Fishing,Arm
3150,1970.12.13,December,1970,MOZAMBIQUE,Fishing,Arm
3151,1970.12.07,December,1970,OTHER,Fishing,Leg
3152,1970.12.03,December,1970,USA,OTHER,Leg
3153,1970.11.00,November,1970,OTHER,Unknown,OTHER
3154,1970.10.24,October,1970,USA,Surfing,Arm
3155,1970.10.00,October,1970,USA,Surfing,Leg
3156,1970.09.28,September,1970,OTHER,Diving,Arm
3157,1970.09.13,September,1970,OTHER,Fishing,OTHER
3158,1970.09.05,September,1970,USA,Swimming,Leg
3159,1970.09.02,September,1970,AUSTRALIA,Unknown,OTHER
3160,1970.09.00.c,September,1970,USA,Swimming,Leg
3161,1970.09.00.a,September,1970,USA,Diving,Leg
3162,1970.08.02,August,1970,OTHER,Water sports,Unknown
3163,1970.07.05,July,1970,OTHER,Unknown,Leg
3164,1970.06.22,June,1970,USA,Fishing,Leg
3165,1970.06.15,June,1970,SOUTH AFRICA,Diving,Leg
3166,1970.06.13.b,June,1970,OTHER,Shore,Leg
3167,1970.06.13.a,June,1970,OTHER,Shore,FATAL
3168,1970.06.00,June,1970,PHILIPPINES,Water sports,FATAL
3169,1970.04.04,April,1970,OTHER,Swimming,FATAL
3170,1970.04.00.b,April,1970,OTHER,Diving,Arm
3171,1970.04.00.a,April,1970,SOLOMON ISLANDS,Swimming,Unknown
3172,1970.03.31,March,1970,USA,Surfing,OTHER
3173,1970.03.23,March,1970,USA,Shore,Leg
3174,1970.02.05,February,1970,OTHER,Shore,Leg
3175,1970.01.23.d,January,1970,MOZAMBIQUE,Swimming,Arm
3176,1970.01.23.c,January,1970,MOZAMBIQUE,Swimming,Leg
3177,1970.01.23.b,January,1970,MOZAMBIQUE,Swimming,Leg
