,Case Number,Month,Year,Country,Activity,Injury
431,2013.07.15,July,2013,REUNION,Swimming,FATAL
432,2013.07.14,July,2013,OTHER,Swimming,FATAL
433,2013.07.11,July,2013,USA,Shore,Leg
434,2013.07.09,July,2013,SPAIN,Swimming,Arm
435,2013.07.02,July,2013,AUSTRALIA,Surfing,No injury
436,2013.06.30,June,2013,OTHER,Fishing,Leg
437,2013.06.27,June,2013,JAMAICA,Unknown,FATAL
438,2013.06.25.c,June,2013,USA,Fishing,No injury
439,2013.06.25.b,June,2013,USA,Swimming,Leg
440,2013.06.25.a,June,2013,USA,Swimming,Leg
441,2013.06.18,June,2013,USA,Swimming,Leg
442,2013.06.17,June,2013,USA,Swimming,Leg
443,2013.06.16,June,2013,SOUTH AFRICA,Surfing,Leg
444,2013.06.15,June,2013,USA,Surfing,Leg
445,2013.06.14.R,June,2013,USA,Water sports,Arm
446,2013.06.06.b,June,2013,USA,Fishing,Arm
447,2013.06.06.a,June,2013,AUSTRALIA,Surfing,No injury
448,2013.05.27.b,May,2013,USA,Diving,Arm
449,2013.05.27.a,May,2013,USA,Swimming,Leg
450,2013.05.23.b,May,2013,BRAZIL,Unknown,FATAL
451,2013.05.23.a,May,2013,OTHER,Fishing,Arm
452,2013.05.14,May,2013,OTHER,Surfing,Leg
453,2013.05.08.b,May,2013,USA,Surfing,OTHER
454,2013.05.08.a,May,2013,REUNION,Water sports,FATAL
455,2013.05.04.a,May,2013,USA,Surfing,Leg
456,2013.04.28,April,2013,AUSTRALIA,Fishing,Leg
457,2013.04.24,April,2013,MEXICO,Swimming,Leg
458,2013.04.21,April,2013,AUSTRALIA,Fishing,Leg
459,2013.04.17,April,2013,USA,Surfing,Leg
460,2013.04.14,April,2013,SOUTH AFRICA,Diving,Arm
461,2013.04.13.b,April,2013,USA,Surfing,Arm
462,2013.04.13.a,April,2013,OTHER,Unknown,FATAL
463,2013.04.10,April,2013,FRENCH POLYNESIA,Water sports,Leg
464,2013.04.04,April,2013,USA,Swimming,Arm
465,2013.04.02.R,April,2013,AUSTRALIA,Unknown,OTHER
466,2013.04.02.a,April,2013,USA,Surfing,Leg
467,2013.03.31,March,2013,AUSTRALIA,Surfing,OTHER
468,2013.03.29,March,2013,OTHER,Diving,Leg
469,2013.03.21.R,March,2013,OTHER,Diving,Leg
470,2013.03.21,March,2013,BAHAMAS,Fishing,Leg
471,2013.03.16.b,March,2013,SOUTH AFRICA,Fishing,Leg
472,2013.03.16.a,March,2013,SOUTH AFRICA,Surfing,No injury
473,2013.03.12,March,2013,JAMAICA,Fishing,FATAL
